,age,education,employment_status,fam_income,hh_income,hours_worked,labor_status,married,numfamily,personal_income,race,school_status,sex,state,wage_income,education_hs,education_college,state_nh,sex_male,school_status_attending,race_white,labor_status_working,personal_income_none,hh_income_cleaned,personal_income_cleaned,fam_income_cleaned,married_now,wage_income_cleaned
3931,59,123,34,8796,25917,999,1,5,1,8796,100,0,2,50,0,1,1,0,0,0,1,0,0,25917,8796,8796,0,0
3932,26,73,34,0,25917,999,1,6,1,0,100,5,1,50,0,1,0,0,1,0,1,0,1,25917,0,0,0,0
3933,57,111,10,46240,46240,52,2,6,1,46240,100,0,1,50,20000,1,1,0,1,0,1,1,0,46240,46240,46240,0,20000
3934,60,111,10,48013,48013,40,2,4,1,48013,100,0,2,50,48000,1,1,0,0,0,1,1,0,48013,48013,48013,0,48000
3935,65,91,10,297461,297461,45,2,1,2,59400,100,0,1,50,39000,1,0,0,1,0,1,1,0,297461,59400,297461,1,39000
3936,64,124,10,297461,297461,45,2,1,2,238061,100,0,2,50,211000,1,1,0,0,0,1,1,0,297461,238061,297461,1,211000
3937,45,73,10,98900,143900,37,2,5,2,49900,100,5,2,50,33000,1,0,0,0,0,1,1,0,143900,49900,98900,0,33000
3938,19,81,34,98900,143900,999,1,6,2,49000,100,3,2,50,3000,1,0,0,0,1,1,0,0,143900,49000,98900,0,3000
3939,47,73,10,45000,143900,50,2,6,1,45000,100,5,1,50,45000,1,0,0,1,0,1,1,0,143900,45000,45000,0,45000
3940,36,73,10,128500,198500,60,2,6,3,128500,100,5,1,50,50500,1,0,0,1,0,1,1,0,198500,128500,128500,0,50500
3941,7,1,0,128500,198500,999,0,6,3,99999999,100,0,2,50,9999999,0,0,0,0,0,1,0,1,198500,0,128500,0,9999999
3942,6,1,0,128500,198500,999,0,6,3,99999999,100,0,1,50,9999999,0,0,0,1,0,1,0,1,198500,0,128500,0,9999999
3943,37,73,10,70000,198500,40,2,4,1,70000,100,5,2,50,70000,1,0,0,0,0,1,1,0,198500,70000,70000,0,70000
3944,44,81,10,110028,110028,50,2,1,4,31002,100,5,2,50,31000,1,0,0,0,0,1,1,0,110028,31002,110028,1,31000
3945,45,73,10,110028,110028,40,2,1,4,75022,100,5,1,50,0,1,0,0,1,0,1,1,0,110028,75022,110028,1,0
3946,17,50,34,110028,110028,999,1,6,4,4004,100,1,1,50,4000,0,0,0,1,1,1,0,0,110028,4004,110028,0,4000
3947,11,1,0,110028,110028,999,0,6,4,99999999,100,0,2,50,9999999,0,0,0,0,0,1,0,1,110028,0,110028,0,9999999
3948,37,92,10,83146,83146,40,2,1,4,52000,100,5,1,50,52000,1,0,0,1,0,1,1,0,83146,52000,83146,1,52000
3949,34,92,10,83146,83146,40,2,1,4,31146,100,5,2,50,30846,1,0,0,0,0,1,1,0,83146,31146,83146,1,30846
3950,12,1,0,83146,83146,999,0,6,4,99999999,100,0,1,50,9999999,0,0,0,1,0,1,0,1,83146,0,83146,0,9999999
3951,8,1,0,83146,83146,999,0,6,4,99999999,100,0,1,50,9999999,0,0,0,1,0,1,0,1,83146,0,83146,0,9999999
3952,36,124,10,45000,110300,18,2,6,4,16000,100,5,2,50,0,1,1,0,0,0,1,1,0,110300,16000,45000,0,0
3953,5,1,0,45000,110300,999,0,6,4,99999999,100,0,1,50,9999999,0,0,0,1,0,1,0,1,110300,0,45000,0,9999999
3954,2,1,0,45000,110300,999,0,6,4,99999999,100,0,1,50,9999999,0,0,0,1,0,1,0,1,110300,0,45000,0,9999999
3955,30,71,10,45000,110300,40,2,5,4,29000,100,5,2,50,0,0,0,0,0,0,1,1,0,110300,29000,45000,0,0
3956,32,73,10,65300,110300,60,2,6,1,65300,100,5,1,50,65000,1,0,0,1,0,1,1,0,110300,65300,65300,0,65000
3957,60,73,32,28400,28400,999,1,4,2,12259,100,0,2,50,0,1,0,0,0,0,1,0,0,28400,12259,28400,0,0
3958,32,73,10,28400,28400,4,2,6,2,16141,100,5,2,50,550,1,0,0,0,0,1,1,0,28400,16141,28400,0,550
3959,59,81,10,254133,254133,40,2,1,3,184114,100,0,2,50,52000,1,0,0,0,0,1,1,0,254133,184114,254133,1,52000
3960,58,111,10,254133,254133,54,2,1,3,61457,100,0,1,50,27600,1,1,0,1,0,1,1,0,254133,61457,254133,1,27600
3961,27,81,34,254133,254133,999,1,6,3,8562,100,4,1,50,0,1,0,0,1,1,1,0,0,254133,8562,254133,0,0
3962,56,73,32,11221,11221,999,1,4,1,11221,100,0,2,50,0,1,0,0,0,0,1,0,0,11221,11221,11221,0,0
3963,49,91,10,45079,45079,25,2,1,3,15040,100,5,2,50,15000,1,0,0,0,0,1,1,0,45079,15040,45079,1,15000
3964,52,111,10,45079,45079,40,2,1,3,25030,100,5,1,50,25000,1,1,0,1,0,1,1,0,45079,25030,45079,1,25000
3965,20,73,10,45079,45079,30,2,6,3,5009,100,5,1,50,5000,1,0,0,1,0,1,1,0,45079,5009,45079,0,5000
3966,72,73,36,48850,48850,999,1,1,2,25592,100,0,1,50,0,1,0,0,1,0,1,0,0,48850,25592,48850,1,0
3967,73,92,36,48850,48850,999,1,1,2,23258,100,0,2,50,0,1,0,0,0,0,1,0,0,48850,23258,48850,1,0
3968,74,81,36,79663,79663,999,1,1,2,43180,100,0,1,50,0,1,0,0,1,0,1,0,0,79663,43180,79663,1,0
3969,67,111,36,79663,79663,999,1,1,2,36483,100,0,2,50,0,1,1,0,0,0,1,0,0,79663,36483,79663,1,0
3970,42,123,10,136149,136149,40,2,1,2,69141,100,5,2,50,67000,1,1,0,0,0,1,1,0,136149,69141,136149,1,67000
3971,48,111,10,136149,136149,44,2,1,2,67008,100,5,1,50,66000,1,1,0,1,0,1,1,0,136149,67008,136149,1,66000
3972,56,123,10,214776,214776,40,2,6,1,214776,100,0,1,50,100000,1,1,0,1,0,1,1,0,214776,214776,214776,0,100000
3973,46,111,10,143545,143545,32,2,1,5,40020,100,5,2,50,40000,1,1,0,0,0,1,1,0,143545,40020,143545,1,40000
3974,50,73,10,143545,143545,48,2,1,5,65005,100,5,1,50,65000,1,0,0,1,0,1,1,0,143545,65005,143545,1,65000
3975,20,81,10,143545,143545,10,2,6,5,11206,100,3,1,50,4700,1,0,0,1,1,1,1,0,143545,11206,143545,0,4700
3976,18,81,34,143545,143545,999,1,6,5,27303,100,5,1,50,4300,1,0,0,1,0,1,0,0,143545,27303,143545,0,4300
3977,15,40,34,143545,143545,999,1,6,5,11,100,0,2,50,0,0,0,0,0,0,1,0,0,143545,11,143545,0,0
